1、 3'8/35
2、 1/6
3、 1'125/189
4、 2
5、 1/8
6、 1/10
7、 4'2/3
8、 1'1/2
9、 4'5/54
10、 4'4/5
11、 1/2
12、 4'3/4
13、 5'13/40
14、 1
15、 9/35
16、 3'2/9
17、 1
18、 3
19、 2'23/180
20、 1
21、 3
22、 3'1/6
23、 1'1/8
24、 4'1/8
25、 1/3
26、 7'1/2
27、 2/7
28、 9/35
29、 25/432
30、 3'2/9
31、 49/72
32、 3'1/4
33、 2/3
34、 24
35、 19/20
36、 2'1/3
37、 3'5/14
38、 7'19/32
39、 1/4
40、 4'1/2
41、 2/81
42、 3'1/21
43、 29/108
44、 1/3
45、 3'3/28
46、 5/8
47、 2'25/28
48、 4'1/2
49、 19'7/8
50、 1'1/3
51、 27/32
52、 7/108
53、 1'23/45
54、 4'2/5
55、 2'3/5
56、 4'1/12
57、 42
58、 5/8
59、 12
60、 7'3/5
61、 8/63
62、 1'3/16
63、 5/8
64、 1'1/2
65、 49
66、 3'11/12
67、 2'2/9
68、 1'5/6
69、 5'5/8
70、 3'1/3
71、 28/75
72、 2'1/8
73、 3'1/6
74、 1'17/27
75、 13/20
76、 4'3/7
77、 7'8/9
78、 3'1/3
79、 13/40
80、 10'25/28
81、 1'8/45
82、 2/9
83、 3'3/7
84、 7/36
85、 2'1/8
86、 1'1/7
87、 16/441
88、 7
89、 2'1/4
90、 4
91、 2
92、 27/40
93、 1
94、 7/16
95、 7/40
96、 2'1/3
97、 3'15/16
98、 1'5/28
99、 12
100、 1'137/144
101、 1/18
102、 9
103、 1'5/12
104、 6'1/5
105、 1/3
106、 29/60
107、 1/2
108、 107/180
109、 1'1/8
110、 1'2/3
111、 120/161
112、 4/25
113、 10
114、 4'1/3
115、 3'35/36
116、 1/15
117、 8/21
118、 1/2
119、 4/21
120、 7
121、 3/7
122、 3
123、 2/7
124、 1'2/9
125、 9/16
126、 2'3/4
127、 45/112
128、 1'26/35
129、 2'1/3
130、 1'11/14
131、 1'5/9
132、 8'4/9
133、 23/70
134、 5'1/2
135、 4'32/35
136、 15'5/9
137、 1/3
138、 6'18/25
139、 17/24
140、 1/4
141、 36/65
142、 2'1/2
143、 7/9
144、 1'11/90
145、 2'16/21
146、 4'11/12
147、 2/5
148、 1'10/21
149、 1
150、 2'91/96
151、 1'5/36
152、 3
153、 2'9/13
154、 1'35/64
155、 2'2/7
156、 10'2/3
157、 1'11/15
158、 32/35
159、 1'1/5
160、 7'4/7
161、 0
162、 11'2/3
163、 15'1/2
164、 1'17/18
165、 4/27
166、 35/48
167、 1
168、 16/63
169、 27/32
170、 9/14
171、 6'2/3
172、 3'37/81
173、 2'7/10
174、 9/20
175、 3'17/21
176、 1/2
177、 17'4/7
178、 7'5/8
179、 8'17/24
180、 4/9
181、 1'3/4
182、 1'4/5
183、 10'2/3
184、 3/4
185、 1/2
186、 65/72
187、 1
188、 13/20
189、 10'5/7
190、 1'1/2
191、 5/8
192、 1
193、 1'17/25
194、 3'1/2
195、 5'1/4
196、 6'11/56
197、 2'65/84
198、 1'3/20
199、 8'4/5
200、 6/35
201、 2/13
202、 15/32
203、 11/14
204、 5
205、 11'1/3
206、 3/8
207、 5/56
208、 9/35
209、 1'1/5
210、 7/12
211、 7/40
212、 5'1/2
213、 2'1/8
214、 8'26/35
215、 10'1/6
216、 3'3/8
217、 3'3/8
218、 8/45
219、 3/4
220、 2'27/28
221、 1'5/49
222、 1'1/2
223、 1
224、 17/60
225、 1'4/9
226、 2'1/4
227、 2'1/6
228、 5/6
229、 7/9
230、 4'41/42
231、 1'1/5
232、 5'13/45
233、 9'1/4
234、 6'3/5
235、 4'1/3
236、 1/5
237、 4'43/60
238、 44/45
239、 2'1/36
240、 1'1/2
241、 1/2
242、 1'7/8
243、 2
244、 4/7
245、 3'5/9
246、 3/10
247、 2'3/4
248、 1'1/8
249、 4'31/84
250、 1'5/7
251、 109/336
252、 4'4/5
253、 41/54
254、 1/6
255、 6
256、 1/6
257、 4'3/10
258、 73'1/2
259、 2'43/54
260、 1'3/4
261、 7/18
262、 3/20
263、 8'39/40
264、 5/42
265、 2'2/5
266、 2'11/12
267、 5/6
268、 2'23/30
269、 3/28
270、 3/256
271、 1'11/25
272、 1/6
273、 2'1/10
274、 2/3
275、 2
276、 1'1/3
277、 4/5
278、 3'3/10
279、 3'4/5
280、 1/4
281、 7'5/7
282、 0
283、 1'2/35
284、 7/64
285、 7/16
286、 4'4/15
287、 3/56
288、 4/5
289、 77/90
290、 8/21
291、 2'57/100
292、 19
293、 45/82
294、 2'125/168
295、 1'1/12
296、 7'1/2
297、 9
298、 5/54
299、 1'11/112
300、 7/24
301、 7/40
302、 11'7/15
303、 20/21
304、 1'3/4
305、 5/9
306、 1'17/18
307、 8/63
308、 9/70
309、 4'3/5
310、 47/216
311、 5'4/9
312、 1'143/280
313、 5'1/5
314、 1'1/21
315、 3'1/12
316、 3'3/10
317、 1
318、 6'1/5
319、 1'2/3
320、 4'2/3
321、 7/24
322、 1'11/16
323、 2'1/6
324、 1'3/7
325、 10'1/2
326、 9'2/3
327、 6'2/5
328、 3'2/5
329、 6
330、 2'5/18
331、 1'1/5
332、 1'7/9
333、 15
334、 4'67/180
335、 2/7
336、 3
337、 2
338、 6'2/3
339、 1'1/2
340、 1'5/24
341、 1'16/21
342、 1/3
343、 7/108
344、 5'1/4
345、 1'2/7
346、 1'3/5
347、 4
348、 73/288
349、 2'1/8
350、 7'1/2
351、 183/392
352、 2'3/10
353、 1'1/7
354、 43/120
355、 5'5/6
356、 7/24
357、 1'2/3
358、 1'17/24
359、 1'1/8
360、 1'7/12
361、 2
362、 1'1/7
363、 2'8/9
364、 3
365、 5
366、 1'1/8
367、 5'3/4
368、 4'1/7
369、 15
370、 8/27
371、 7/40
372、 2/7
373、 2'11/45
374、 1'16/45
375、 3'3/7
376、 1'4/17
377、 1'11/24
378、 1
379、 5/6
380、 1'5/42
381、 2'31/162
382、 1/6
383、 2'1/2
384、 2/15
385、 1'29/45
386、 4/7
387、 23/32
388、 2/9
389、 1'4/35
390、 7'5/9
391、 3'13/24
392、 19/30
393、 1'4/35
394、 3'1/3
395、 10'2/3
396、 1'1/35
397、 1/72
398、 1'11/49
399、 3/20
400、 1/3
401、 3'11/24
402、 2'17/28
403、 6
404、 1
405、 1/3
406、 1/18
407、 245/1152
408、 9'1/2
409、 1'1/3
410、 4'1/14
411、 2'1/4
412、 4'3/4
413、 2/9
414、 2'29/36
415、 1'5/6
416、 3/7
417、 9/14
418、 1/8
419、 5'5/8
420、 2'1/2
421、 35/36
422、 2/5
423、 1'3/4
424、 3'3/4
425、 12
426、 4'1/7
427、 1'1/15
428、 4'1/2
429、 2'2/35
430、 14
431、 1'20/21
432、 4'1/2
433、 1/28
434、 7/30
435、 1'7/36
436、 5/7
437、 1/2
438、 14'2/5
439、 5'2/3
440、 3
441、 1'1/12
442、 4'19/72
443、 1/24
444、 280/549
445、 2'1/10
446、 1/6
447、 11'4/5
448、 0
449、 7'1/5
450、 1'5/12
451、 17/35
452、 74/105
453、 1'1/7
454、 4'2/5
455、 2'4/15
456、 5'1/4
457、 5'4/7
458、 1'3/4
459、 2/3
460、 9'1/2
461、 9/56
462、 8
463、 3
464、 2'41/45
465、 1'7/24
466、 3'1/2
467、 1'3/4
468、 7'15/92
469、 1/12
470、 21'2/3
471、 9'1/2
472、 3'1/4
473、 24/25
474、 1'17/196
475、 1/9
476、 2'2/3
477、 8'1/4
478、 9/16
479、 2'3/4
480、 3'11/75
481、 3'3/7
482、 9'1/4
483、 2'2/3
484、 5/7
485、 5/6
486、 2'1/2
487、 2'17/70
488、 3'1/3
489、 1'3/4
490、 3/4
491、 2/3
492、 15
493、 10'5/56
494、 3'1/7
495、 5'3/10
496、 4'7/18
497、 1'1/7
498、 25'1/5
499、 1'26/63
500、 2'1/4
501、 3'1/2
502、 3/4
503、 2/5
504、 25/28
505、 4/5
506、 8/21
507、 9/10
508、 4'17/18
509、 8/9
510、 1
511、 2'19/42
512、 2/3
513、 16/21
514、 0
515、 10'1/4
516、 2'1/10
517、 1
518、 4'7/24
519、 1'13/36
520、 1'13/24
521、 3'7/12
522、 5/7
523、 2'2/3
524、 28
525、 6
526、 1'1/35
527、 3/7
528、 6/35
529、 2'6/7
530、 6'3/10
531、 1'2/7
532、 4'7/12
533、 7
534、 1'1/15
535、 20/189
536、 2'5/8
537、 7'1/5
538、 14'4/5
539、 32/245
540、 1'1/3
541、 7'8/21
542、 9
543、 1'5/12
544、 6'7/9
545、 2'1/4
546、 24/25
547、 7'9/10
548、 24
549、 25/56
550、 2'1/4
551、 1'7/9
552、 6'7/40
553、 2'1/6
554、 35/108
555、 2'3/5
556、 1'17/60
557、 1/28
558、 2'1/6
559、 1'1/12
560、 24/25
561、 25/56
562、 26/35
563、 2/3
564、 3'1/3
565、 1/6
566、 5/7
567、 1'1/12
568、 3'4/15
569、 8/21
570、 1/3
571、 2'11/12
572、 1/3
573、 2'3/4
574、 1/4
575、 9/16
576、 32/105
577、 14
578、 1'25/56
579、 11'1/12
580、 1/2
581、 1'65/84
582、 1'37/40
583、 3'7/24
584、 5'11/35
585、 7'19/24
586、 1'17/96
587、 4'2/3
588、 6'9/10
589、 2'2/3
590、 7'5/9
591、 5/7
592、 1'1/2
593、 9/40
594、 1'2/7
595、 3'41/63
596、 8/35
597、 7/32
598、 1'5/7
599、 1'19/280
600、 31/35
601、 5'1/3
602、 17/24
603、 15'43/144
604、 3
605、 6'1/4
606、 10
607、 4'14/15
608、 4'4/35
609、 2'7/36
610、 6'27/35
611、 7'4/15
612、 1'1/18
613、 101/140
614、 11'2/5
615、 9'1/2
616、 6'1/4
617、 5
618、 5/6
619、 8/15
620、 10
621、 2'1/3
622、 7'1/2
623、 7/8
624、 6'37/40
625、 18
626、 1/2
627、 4'2/9
628、 2'3/5
629、 25/216
630、 2'1/6
631、 1/2
632、 1
633、 7/10
634、 1'29/112
635、 13/70
636、 1'7/8
637、 7
638、 6'1/6
639、 6'2/3
640、 3'17/18
641、 4'2/3
642、 2'17/21
643、 5'1/10
644、 8'7/9
645、 3'53/70
646、 5'5/6
647、 16/21
648、 7'7/18
649、 4'6/7
650、 9
651、 3'1/9
652、 3'17/108
653、 4'11/24
654、 4'1/14
655、 5'11/14
656、 7/24
657、 6'3/4
658、 1'5/6
659、 11/12
660、 3
661、 9'5/6
662、 1
663、 2'3/112
664、 1'71/72
665、 3'11/15
666、 6
667、 1'4/9
668、 25/126
669、 4'4/5
670、 97/120
671、 1
672、 1'1/6
673、 1/12
674、 6'1/3
675、 3'83/120
676、 20/21
677、 1'1/3
678、 7'1/21
679、 1'1/2
680、 5/72
681、 4'4/9
682、 2'2/3
683、 2/5
684、 1/6
685、 17/40
686、 2
687、 1/2
688、 7/24
689、 39/40
690、 1
691、 9/10
692、 2'2/3
693、 1'68/175
694、 1'33/40
695、 1'17/42
696、 2'2/3
697、 7/12
698、 3'1/7
699、 2
700、 1'3/20
701、 4'5/6
702、 2'4/5
703、 6'2/3
704、 1'23/49
705、 2'1/2
706、 2'5/8
707、 9'1/5
708、 2'46/63
709、 4'13/20
710、 2'1/60
711、 17/20
712、 5'19/40
713、 1'17/21
714、 2'1/54
715、 2'19/64
716、 1/4
717、 2'1/3
718、 3
719、 1'4/7
720、 3/28
721、 1'2/25
722、 36
723、 1'1/2
724、 1'29/48
725、 11'1/3
726、 4'1/4
727、 3'19/21
728、 16/45
729、 2
730、 6'3/4
731、 4/5
732、 1'1/5
733、 1'1/6
734、 9'3/8
735、 1/7
736、 1/3
737、 5/54
738、 10'1/2
739、 4
740、 6'8/15
741、 2'3/8
742、 1'2/15
743、 37/72
744、 6'2/7
745、 5/12
746、 9/10
747、 2'1/5
748、 1'83/160
749、 14'2/9
750、 8'85/96
751、 1'1/8
752、 3/8
753、 5'1/2
754、 9'1/8
755、 2
756、 21
757、 1'7/9
758、 1'79/81
759、 1/30
760、 3'2/21
761、 1'2/15
762、 7/16
763、 1/6
764、 1'7/9
765、 2'11/12
766、 1'5/12
767、 2'1/4
768、 16/21
769、 8'1/3
770、 1'49/54
771、 43/56
772、 3'7/8
773、 1'39/40
774、 53/144
775、 9'3/5
776、 5'29/30
777、 7/24
778、 17
779、 1'1/8
780、 2'2/9
781、 6'2/5
782、 4'1/20
783、 9/28
784、 49/64
785、 28
786、 2'47/90
787、 11/40
788、 4/7
789、 2'1/45
790、 5'1/6
791、 3'3/8
792、 33/70
793、 1'11/14
794、 4'1/2
795、 4
796、 37/56
797、 2/3
798、 3'1/18
799、 23/24
800、 1'2/9
801、 2'13/21
802、 3'1/2
803、 1'17/21
804、 53/90
805、 8/15
806、 8'4/7
807、 4'19/36
808、 3'23/24
809、 27/70
810、 2'37/60
811、 1/27
812、 11'17/70
813、 6
814、 1/5
815、 4/9
816、 30/49
817、 2/81
818、 2/5
819、 17/30
820、 1'1/2
821、 5'8/9
822、 2'2/9
823、 1'1/4
824、 5
825、 1'13/14
826、 2'5/8
827、 14/45
828、 7/9
829、 3'1/2
830、 9
831、 18/35
832、 1'11/140
833、 3'1/9
834、 1/6
835、 7/8
836、 2'14/45
837、 3/5
838、 2'20/21
839、 9/56
840、 1/6
841、 5'1/16
842、 1'55/72
843、 1'2/5
844、 1'11/12
845、 2'13/24
846、 6'1/24
847、 3'13/72
848、 1/16
849、 2'1/5
850、 1/5
851、 2
852、 4'1/2
853、 17/21
854、 4'1/6
855、 3'11/12
856、 10
857、 18
858、 3'3/4
859、 7/18
860、 4
861、 4'1/6
862、 1'31/98
863、 17/30
864、 28
865、 5/18
866、 2'3/7
867、 1'27/160
868、 8'29/90
869、 1'7/30
870、 19/24
871、 9
872、 1'23/24
873、 9/16
874、 5/12
875、 1'5/7
876、 5'1/12
877、 9
878、 1/2
879、 7'7/15
880、 1'5/8
881、 1'3/4
882、 5/14
883、 2'3/5
884、 2'7/12
885、 2/7
886、 8/21
887、 7/18
888、 1'1/2
889、 5/6
890、 17'5/16
891、 1'17/60
892、 2'19/84
893、 15/52
894、 2/9
895、 16/27
896、 5/8
897、 1/7
898、 1/27
899、 2'1/7
900、 3'109/147
901、 7/20
902、 1'20/21
903、 4/9
904、 5/9
905、 20/21
906、 2'4/25
907、 3/4
908、 1'3/5
909、 4/27
910、 6'4/5
911、 3'5/6
912、 1'7/30
913、 3'8/21
914、 1/21
915、 3'1/5
916、 1'51/64
917、 1'5/7
918、 9/28
919、 2'1/6
920、 2'19/24
921、 5'7/12
922、 9/14
923、 2'2/15
924、 1'37/42
925、 1'41/56
926、 2'5/8
927、 5/81
928、 88/243
929、 1'8/21
930、 32
931、 1
932、 10/63
933、 3'1/4
934、 3'5/9
935、 2'1/3
936、 2'1/20
937、 1'25/252
938、 5/6
939、 5'1/35
940、 4/7
941、 7
942、 5/42
943、 7'5/7
944、 16/33
945、 5'35/72
946、 2'14/15
947、 17'4/7
948、 29'1/5
949、 14
950、 5/36
951、 2'1/4
952、 1'27/40
953、 2'1/3
954、 15/28
955、 3'13/126
956、 2'5/12
957、 2'17/35
958、 1'1/15
959、 3'3/7
960、 1'3/5
961、 2'1/6
962、 4'4/5
963、 5/6
964、 5'1/7
965、 0
966、 63
967、 1'1/6
968、 5'1/16
969、 2'3/7
970、 1'1/2
971、 1/4
972、 3/32
973、 1'9/10
974、 3/8
975、 2
976、 2'1/3
977、 1/9
978、 3/28
979、 2'9/35
980、 1/4
981、 5'1/10
982、 21/40
983、 3
984、 1'3/4
985、 2'1/9
986、 23/56
987、 47/48
988、 8/9
989、 1'4/9
990、 3/56
991、 0
992、 1/15
993、 1
994、 2
995、 4'1/2
996、 601/1764
997、 5'3/5
998、 54
999、 1'7/18
1000、 1'5/7
1001、 3
1002、 2'2/15
1003、 18/175
1004、 2'5/8
1005、 4'3/5
1006、 3'24/25
1007、 4
1008、 3'11/14
1009、 6
1010、 9'3/4
1011、 1'1/5
1012、 1'2/5
1013、 53/72
1014、 7/10
1015、 2/7
1016、 5'1/4
1017、 3
1018、 2'2/3
1019、 9/32
1020、 5/6
1021、 4/63
1022、 1'1/9
1023、 2'25/36
1024、 1/7
1025、 15/28
1026、 2'7/8
1027、 1'1/9
